date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:04:55	10145/-1	---M--	200	added ('OK')	text/html	date:Sun,%2028%20Sep%202025%2009:04:55%20GMT	https://www.careerplanwiki.com/	C:/My%20Websites/%e8%81%8c%e4%b8%9a%e7%99%be%e7%a7%91/www.careerplanwiki.com/index.html	(from )
17:04:55	38/38	U-----	200	untouched ('OK')	text/plain	etag:%2267185164-26%22	https://www.careerplanwiki.com/robots.txt		(from )
17:04:56	22609/22609	---MCZ	-1	error ('Error%20when%20decompressing')	text/css	etag:W/%225c25decb-1bd5b%22	https://www.careerplanwiki.com/assets/wiki/bootstrap/css/bootstrap.min.css?v=1.0-20200221-1335	C:/My%20Websites/%e8%81%8c%e4%b8%9a%e7%99%be%e7%a7%91/www.careerplanwiki.com/assets/wiki/bootstrap/css/bootstrap.min2c03.css	(from https://www.careerplanwiki.com/)
17:04:56	9169/9169	---MCZ	-1	error ('Error%20when%20decompressing')	text/css	etag:W/%225c25decb-34ac%22	https://www.careerplanwiki.com/assets/wiki/iconfont/iconfont.css?v=1.0-20200221-1335	C:/My%20Websites/%e8%81%8c%e4%b8%9a%e7%99%be%e7%a7%91/www.careerplanwiki.com/assets/wiki/iconfont/iconfont2c03.css	(from https://www.careerplanwiki.com/)
17:04:56	7770/7770	---MCZ	-1	error ('Error%20when%20decompressing')	text/css	etag:W/%225c25decb-9c4a%22	https://www.careerplanwiki.com/assets/wiki/css/style.css?v=1.0-20200221-1335	C:/My%20Websites/%e8%81%8c%e4%b8%9a%e7%99%be%e7%a7%91/www.careerplanwiki.com/assets/wiki/css/style2c03.css	(from https://www.careerplanwiki.com/)
17:04:57	10145/10145	---MCZ	200	added ('OK')	text/html	date:Sun,%2028%20Sep%202025%2009:04:57%20GMT	https://www.careerplanwiki.com/home	C:/My%20Websites/%e8%81%8c%e4%b8%9a%e7%99%be%e7%a7%91/www.careerplanwiki.com/home.html	(from https://www.careerplanwiki.com/)
17:04:57	16955/16955	---MCZ	200	added ('OK')	text/html	date:Sun,%2028%20Sep%202025%2009:04:57%20GMT	https://www.careerplanwiki.com/school	C:/My%20Websites/%e8%81%8c%e4%b8%9a%e7%99%be%e7%a7%91/www.careerplanwiki.com/school.html	(from https://www.careerplanwiki.com/)
17:04:57	240885/240885	---MCZ	200	added ('OK')	text/html	date:Sun,%2028%20Sep%202025%2009:04:57%20GMT	https://www.careerplanwiki.com/major	C:/My%20Websites/%e8%81%8c%e4%b8%9a%e7%99%be%e7%a7%91/www.careerplanwiki.com/major.html	(from https://www.careerplanwiki.com/)
17:04:57	11051/11051	---MCZ	200	added ('OK')	text/html	date:Sun,%2028%20Sep%202025%2009:04:57%20GMT	https://www.careerplanwiki.com/trade	C:/My%20Websites/%e8%81%8c%e4%b8%9a%e7%99%be%e7%a7%91/www.careerplanwiki.com/trade.html	(from https://www.careerplanwiki.com/)
17:04:58	20957/20957	---MCZ	200	added ('OK')	text/html	date:Sun,%2028%20Sep%202025%2009:04:58%20GMT	https://www.careerplanwiki.com/company	C:/My%20Websites/%e8%81%8c%e4%b8%9a%e7%99%be%e7%a7%91/www.careerplanwiki.com/company.html	(from https://www.careerplanwiki.com/)
17:04:58	17683/17683	---MCZ	200	added ('OK')	text/html	date:Sun,%2028%20Sep%202025%2009:04:58%20GMT	https://www.careerplanwiki.com/position	C:/My%20Websites/%e8%81%8c%e4%b8%9a%e7%99%be%e7%a7%91/www.careerplanwiki.com/position.html	(from https://www.careerplanwiki.com/)
17:04:58	5148/5148	---MCZ	-1	error ('Error%20when%20decompressing')	text/html	date:Sun,%2028%20Sep%202025%2009:04:58%20GMT	https://www.careerplanwiki.com/wiki/%e5%a4%a7%e5%ad%a6%e7%94%9f%e6%af%94%e8%b5%9b	C:/My%20Websites/%e8%81%8c%e4%b8%9a%e7%99%be%e7%a7%91/www.careerplanwiki.com/wiki/%e5%a4%a7%e5%ad%a6%e7%94%9f%e6%af%94%e8%b5%9b.html	(from https://www.careerplanwiki.com/)
17:04:58	8440/8440	---MCZ	200	added ('OK')	text/html	date:Sun,%2028%20Sep%202025%2009:04:58%20GMT	https://www.careerplanwiki.com/wiki/%e5%85%b3%e4%ba%8e%e6%88%91%e4%bb%ac	C:/My%20Websites/%e8%81%8c%e4%b8%9a%e7%99%be%e7%a7%91/www.careerplanwiki.com/wiki/%e5%85%b3%e4%ba%8e%e6%88%91%e4%bb%ac.html	(from https://www.careerplanwiki.com/)
17:04:58	7850/7850	---MCZ	200	added ('OK')	text/html	date:Sun,%2028%20Sep%202025%2009:04:58%20GMT	https://www.careerplanwiki.com/wiki/%e8%81%94%e7%b3%bb%e6%88%91%e4%bb%ac	C:/My%20Websites/%e8%81%8c%e4%b8%9a%e7%99%be%e7%a7%91/www.careerplanwiki.com/wiki/%e8%81%94%e7%b3%bb%e6%88%91%e4%bb%ac.html	(from https://www.careerplanwiki.com/)
17:04:59	7850/7850	---MCZ	200	added ('OK')	text/html	date:Sun,%2028%20Sep%202025%2009:04:59%20GMT	https://www.careerplanwiki.com/wiki/%e5%8f%8b%e6%83%85%e9%93%be%e6%8e%a5	C:/My%20Websites/%e8%81%8c%e4%b8%9a%e7%99%be%e7%a7%91/www.careerplanwiki.com/wiki/%e5%8f%8b%e6%83%85%e9%93%be%e6%8e%a5.html	(from https://www.careerplanwiki.com/)
17:04:59	7850/7850	---MCZ	200	added ('OK')	text/html	date:Sun,%2028%20Sep%202025%2009:04:59%20GMT	https://www.careerplanwiki.com/wiki/%e6%9d%83%e5%88%a9%e9%80%9a%e7%9f%a5	C:/My%20Websites/%e8%81%8c%e4%b8%9a%e7%99%be%e7%a7%91/www.careerplanwiki.com/wiki/%e6%9d%83%e5%88%a9%e9%80%9a%e7%9f%a5.html	(from https://www.careerplanwiki.com/)
17:04:59	7850/7850	---MCZ	200	added ('OK')	text/html	date:Sun,%2028%20Sep%202025%2009:04:59%20GMT	https://www.careerplanwiki.com/wiki/%e9%9a%90%e7%a7%81%e6%94%bf%e7%ad%96	C:/My%20Websites/%e8%81%8c%e4%b8%9a%e7%99%be%e7%a7%91/www.careerplanwiki.com/wiki/%e9%9a%90%e7%a7%81%e6%94%bf%e7%ad%96.html	(from https://www.careerplanwiki.com/)
17:04:59	0/-1	---MCZ	200	added ('OK')	application/javascript	etag:W/%225c25decb-63b5%22	https://www.careerplanwiki.com/assets/common/js/sea-debug.js?v=1.0-20200221-1335	C:/My%20Websites/%e8%81%8c%e4%b8%9a%e7%99%be%e7%a7%91/www.careerplanwiki.com/assets/common/js/sea-debug2c03.js	(from https://www.careerplanwiki.com/)
17:05:00	591/591	---M--	200	added ('OK')	application/javascript	etag:%225c25decb-24f%22	https://www.careerplanwiki.com/assets/wiki/js/sea.config.js?v=1.0-20200221-1335	C:/My%20Websites/%e8%81%8c%e4%b8%9a%e7%99%be%e7%a7%91/www.careerplanwiki.com/assets/wiki/js/sea.config2c03.js	(from https://www.careerplanwiki.com/)
17:05:00	3823/3823	---MCZ	-1	error ('Error%20when%20decompressing')	text/css	etag:W/%225c25decb-5505%22	https://www.careerplanwiki.com/assets/common/css/swiper/swiper.css?v=1.0-20200221-1335	C:/My%20Websites/%e8%81%8c%e4%b8%9a%e7%99%be%e7%a7%91/www.careerplanwiki.com/assets/common/css/swiper/swiper2c03.css	(from https://www.careerplanwiki.com/school)
17:05:01	4519/4519	---MCZ	-1	error ('Error%20when%20decompressing')	text/html	date:Sun,%2028%20Sep%202025%2009:05:00%20GMT	https://www.careerplanwiki.com/wiki/%e5%93%b2%e5%ad%a6/3716	C:/My%20Websites/%e8%81%8c%e4%b8%9a%e7%99%be%e7%a7%91/www.careerplanwiki.com/wiki/%e5%93%b2%e5%ad%a6/3716.html	(from https://www.careerplanwiki.com/major)
17:05:01	4759/4759	---MCZ	-1	error ('Error%20when%20decompressing')	text/html	date:Sun,%2028%20Sep%202025%2009:05:01%20GMT	https://www.careerplanwiki.com/wiki/%e9%80%bb%e8%be%91%e5%ad%a6/3717	C:/My%20Websites/%e8%81%8c%e4%b8%9a%e7%99%be%e7%a7%91/www.careerplanwiki.com/wiki/%e9%80%bb%e8%be%91%e5%ad%a6/3717.html	(from https://www.careerplanwiki.com/major)
17:05:01	4675/4675	---MCZ	-1	error ('Error%20when%20decompressing')	text/html	date:Sun,%2028%20Sep%202025%2009:05:01%20GMT	https://www.careerplanwiki.com/wiki/%e5%ae%97%e6%95%99%e5%ad%a6/3718	C:/My%20Websites/%e8%81%8c%e4%b8%9a%e7%99%be%e7%a7%91/www.careerplanwiki.com/wiki/%e5%ae%97%e6%95%99%e5%ad%a6/3718.html	(from https://www.careerplanwiki.com/major)
17:05:01	4761/4761	---MCZ	-1	error ('Error%20when%20decompressing')	text/html	date:Sun,%2028%20Sep%202025%2009:05:01%20GMT	https://www.careerplanwiki.com/wiki/%e4%bc%a6%e7%90%86%e5%ad%a6/3719	C:/My%20Websites/%e8%81%8c%e4%b8%9a%e7%99%be%e7%a7%91/www.careerplanwiki.com/wiki/%e4%bc%a6%e7%90%86%e5%ad%a6/3719.html	(from https://www.careerplanwiki.com/major)
17:05:02	5006/5006	---MCZ	-1	error ('Error%20when%20decompressing')	text/html	date:Sun,%2028%20Sep%202025%2009:05:02%20GMT	https://www.careerplanwiki.com/wiki/%e8%b4%a2%e6%94%bf%e5%ad%a6/3720	C:/My%20Websites/%e8%81%8c%e4%b8%9a%e7%99%be%e7%a7%91/www.careerplanwiki.com/wiki/%e8%b4%a2%e6%94%bf%e5%ad%a6/3720.html	(from https://www.careerplanwiki.com/major)
17:05:02	4878/4878	---MCZ	-1	error ('Error%20when%20decompressing')	text/html	date:Sun,%2028%20Sep%202025%2009:05:02%20GMT	https://www.careerplanwiki.com/wiki/%e7%a8%8e%e6%94%b6%e5%ad%a6/3721	C:/My%20Websites/%e8%81%8c%e4%b8%9a%e7%99%be%e7%a7%91/www.careerplanwiki.com/wiki/%e7%a8%8e%e6%94%b6%e5%ad%a6/3721.html	(from https://www.careerplanwiki.com/major)
